id,accumulate_type,petbase_field,field_match_type,petbase_field_param,petbase_need_persent,pool_id,bonus_type,bonus_param,weight,weight_season_badge,is_rare,enabletime,disabletime
100001,S1_CHAOS,,,,,115001,1,115448,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100003,S1_CHAOS,,,,,115001,1,115451,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100006,S1_CHAOS,,,,,115001,1,115454,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100007,S1_CHAOS,,,,,115001,1,115455,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100010,S1_CHAOS,,,,,115001,1,115458,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100012,S1_CHAOS,,,,,115001,1,115460,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100013,S1_CHAOS,,,,,115001,1,115462,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100015,S1_CHAOS,,,,,115001,1,115465,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100018,,,,,,115001,1,115468,480,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100019,,,,,,115001,1,115473,480,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100022,,,,,,115001,1,115484,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100024,,,,,,115001,1,115486,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100026,,,,,,115001,1,115487,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100027,,,,,,115001,1,115489,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100049,,,,,,115001,1,115491,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100052,,,,,,115001,1,115493,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100055,,,,,,115001,1,115495,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100056,,,,,,115001,1,115498,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100059,S1_CHAOS,,,,,115001,1,115501,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100061,S1_CHAOS,,,,,115001,1,115503,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100063,S1_CHAOS,,,,,115001,1,115504,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100066,S1_CHAOS,,,,,115001,1,115506,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100069,S1_CHAOS,,,,,115001,1,115508,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100071,S1_CHAOS,,,,,115001,1,115510,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100074,S1_CHAOS,,,,,115001,1,115512,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100077,S1_CHAOS,,,,,115001,1,115515,3,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100085,,,,,,115001,1,115428,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100087,,,,,,115001,1,115431,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100088,,,,,,115001,1,115434,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100090,,,,,,115001,1,115435,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100092,,,,,,115001,1,115438,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100094,,,,,,115001,1,115440,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100096,,,,,,115001,1,115442,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100099,,,,,,115001,1,115445,60,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100102,,unit_type,3,3,8000,115001,1,115428,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100104,,unit_type,3,3,8000,115001,1,115431,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100105,,unit_type,3,3,8000,115001,1,115434,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100107,,unit_type,3,3,8000,115001,1,115435,7120,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100109,,unit_type,3,3,8000,115001,1,115438,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100111,,unit_type,3,3,8000,115001,1,115440,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100113,,unit_type,3,3,8000,115001,1,115442,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100116,,unit_type,3,3,8000,115001,1,115445,7120,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100119,,unit_type,3,3,8000,115001,1,115448,6,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100121,,unit_type,3,3,8000,115001,1,115451,6,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100124,,unit_type,3,3,8000,115001,1,115454,6,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100125,S1_SKILLDAM_GRASS,unit_type,3,3,8000,115001,1,115455,80,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100128,,unit_type,3,3,8000,115001,1,115458,6,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100130,,unit_type,3,3,8000,115001,1,115460,6,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100131,,unit_type,3,3,8000,115001,1,115462,6,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100133,S1_SKILLDAM_GRASS,unit_type,3,3,8000,115001,1,115465,80,0|0|0|0|0|0,True,2025-09-01 04:00:00,2026-05-21 03:59:59
100136,,unit_type,3,3,8000,115001,1,115468,3200,,,,
100137,,unit_type,3,3,8000,115001,1,115473,3200,,,,
100140,,unit_type,3,3,8000,115001,1,115484,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100142,,unit_type,3,3,8000,115001,1,115486,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100144,,unit_type,3,3,8000,115001,1,115487,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100145,,unit_type,3,3,8000,115001,1,115489,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100147,,unit_type,3,3,8000,115001,1,115491,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100150,,unit_type,3,3,8000,115001,1,115493,7120,,,2025-09-01 04:00:00,2026-05-21 03:59:59
100153,,unit_type,3,3,8000,115001,1,115495,548,,,2025-09-01 04:00:00,2026-05-21 03:59:59
