池子ID,池子名称,池子总权重,金球总权重,金球总占比%,此池单次闪率%,含保底期望噩梦次数,精灵名,是否异色,权重,在总池中占比%,在金球中占比%
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,果冻,否,480,24.3902,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,星尘虫,否,480,24.3902,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,粉星仔,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,月牙雪熊,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,粉粉星,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,双灯鱼,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,嗜光嗡嗡,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,柴渣虫,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,空空颅,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,贝瑟,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,大耳帽兜,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,机械方方,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,恶魔狼,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,奇丽草,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,呼呼猪,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,拉特,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,治愈兔,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,格兰种子,否,60,3.0488,
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,大耳帽兜,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,机械方方,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,恶魔狼,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,奇丽草,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,呼呼猪,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,拉特,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,治愈兔,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,格兰种子,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,粉星仔,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,月牙雪熊,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,粉粉星,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,双灯鱼,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,嗜光嗡嗡,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,柴渣虫,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,空空颅,是,3,0.1524,6.25
chaos,混沌池（无条件）,1968,48,2.439,2.439,34.9,贝瑟,是,3,0.1524,6.25
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,柴渣虫,否,7180,19.3167,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,奇丽草,否,7180,19.3167,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,格兰种子,否,7180,19.3167,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,果冻,否,3680,9.9005,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,星尘虫,否,3680,9.9005,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,粉星仔,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,月牙雪熊,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,粉粉星,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,双灯鱼,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,嗜光嗡嗡,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,空空颅,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,贝瑟,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,大耳帽兜,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,机械方方,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,恶魔狼,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,呼呼猪,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,拉特,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,治愈兔,否,608,1.6357,
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,奇丽草,是,83,0.2233,22.68
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,格兰种子,是,83,0.2233,22.68
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,柴渣虫,是,83,0.2233,22.68
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,大耳帽兜,是,9,0.0242,2.46
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,机械方方,是,9,0.0242,2.46
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,恶魔狼,是,9,0.0242,2.46
type_3,草属性池（type=3）,37170,366,0.9847,0.9847,54.3,呼呼猪,是,9,0.0242,2.46
